title,price,rating,reviews,availability,url,numeric_price
Boat BassHeads 100 in-Ear Headphones with Mic (Black),₹349.00,4.1 out of 5 stars,"421,182 ratings",In stock,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_1?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-1,349.0
"boAt Rockerz 255 Pro+, 60HRS Battery, Fast Charge, IPX7, Dual Pairing, Low Latency, Magnetic Earbuds, in Ear Bluetooth Neckband, Wireless with Mic Earphones (Active Black)","₹1,199.00",3.9 out of 5 stars,"230,844 ratings",In stock,https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_2?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-2,1199.0
"boAt Airdopes 141, Low Latency, ENx Tech, 42HRS Battery, Fast Charge, IWP, IPX4, v5.1 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Bold Black)",₹899.00,3.8 out of 5 stars,"80,081 ratings",In stock,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_3?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-3,899.0
"boAt Rockerz 255 Z Plus, AI-ENx Tech, Spatial Audio, 50HRS Battery, Low Latency Mode, Fast Charge, App Support, IPX4 BT v5.3, Bluetooth Neckband, Wireless with Mic Earphones (Active/Classic Black)","₹1,099.00",3.9 out of 5 stars,"230,844 ratings",In stock,https://www.amazon.in/boAt-Rockerz-255-Plus-Bluetooth/dp/B0D6Y7Y3N3/ref=sr_1_4?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-4,1099.0
"boAt Airdopes 91 Prime, 45HRS Battery, 13mm Drivers, Metallic Finish, Low Latency,ENx Tech, Fast Charge, v5.3 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Midnight Black)",₹699.00,3.3 out of 5 stars,"7,207 ratings",In stock,https://www.amazon.in/boAt-Airdopes-91-Prime-Bluetooth/dp/B0DPWL48Z5/ref=sr_1_5?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-5,699.0
"boAt Bassheads 100 C Wired Headphones Earphones with Type-C Jack, in-Line Microphone, in Ear, 10Mm Drivers, Signature Sound, Integrated Controls & Multi-Os Compatibility (Black)",₹549.00,4.1 out of 5 stars,"421,182 ratings",In stock,https://www.amazon.in/boAt-Bassheads-100-Microphone-Compatibility/dp/B0D7PXB3SH/ref=sr_1_6?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-6,549.0
"Boat Airdopes Joy, 35Hrs Battery, Fast Charge, IWP Tech, Low Latency, 2Mic ENx, Type-C Port, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic(Jet Black)",₹799.00,4.0 out of 5 stars,"2,066 ratings",In stock,https://www.amazon.in/boAt-Airdopes-Alpha-Wireless-Earbuds/dp/B0C3ZYFZ77/ref=sr_1_7?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-7,799.0
"boAt Rockerz 110/Rockerz 109 Wireless in Ear Neckband with Up to 60 hrs Playtime, Dual Device Pairing, ENx Tech, ASAP Charging, BTv5.3,IPX5,Type-C Interface & Magnetic Power Buds(Active Black)",₹799.00,3.6 out of 5 stars,958 ratings,In stock,https://www.amazon.in/boAt-Launched-Rockerz-110-Interface/dp/B0CKJ8JL1Y/ref=sr_1_8?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-8,799.0
"boAt Airdopes 311 Pro, 50HRS Battery, Fast Charge, Dual Mics ENx Tech, Transparent LID, Low Latency, IPX4, IWP Tech, v5.3 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",₹899.00,3.4 out of 5 stars,"4,834 ratings",In stock,https://www.amazon.in/boAt-Airdopes-311-Pro-Low-Latency/dp/B0CZ3ZPD8B/ref=sr_1_9?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-9,899.0
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","₹1,399.00",4.0 out of 5 stars,"118,170 ratings",In stock,https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sr_1_10?_encoding=UTF8&content-id=amzn1.sym.82b20790-8877-4d70-8f73-9d8246e460aa&dib=eyJ2IjoiMSJ9.u-Idkf73CqPLuA1aaV9B-4A337JEK0-L7rnhmLUexJ1k4rpZs5cU9-SFsmXgCR4O2eQhj4kIzpfpytjV761IL_B_LHBlDYiqRiXYRe8c4-8jz0Kh-ArTre6GSUv5avTp6yUiloK0lyM3w69CB6ZpISZnpDsz84-DLZxWoHfHAw3fBZLrvurqKdg9KSJv0XhVaK0ugwEmg6lHuFiPH--lNtWfu4zvA2TpRO4-U4CuynY-Di7xtRnWrnDz7tfs6OGuOdEYKNA9hvjguTzRA4T7wSz8jkaWsAA8xk-wBa_ZPMg.jHdV8lznjG1Su6Cxi-oYfUVTj-wCnftj1mkxQRRA1NE&dib_tag=se&pd_rd_r=b5331660-daba-4096-99f4-8447a2ec81be&pd_rd_w=oE2Er&pd_rd_wg=0p3rl&qid=1751699601&refinements=p_89%3AboAt&s=electronics&sr=1-10,1399.0
